index,region_id,regions,crops_total,crops_permanent,crops_transitory,harvest_total,harvest_permanent,harvest_transitory,forestry
1,0,Nacional,3658709.68914642,2592674.03418943,908957.699442081,3816244.5542679,2147211.59645427,1669032.95781417,157077.955681414
2,0.1,Costa,836417.604676486,396350.875140178,438848.056101627,716093.675737056,203089.601278067,513004.074459,1218.67343467884
3,0.2,Sierra,902076.268222882,582068.970345436,223382.717899496,1401480.28348873,622036.21076803,779444.072720688,96624.5799779488
4,0.3,Selva,1920215.81624648,1614254.1887034,246726.925440838,1698670.5950425,1322085.78440804,376584.81063427,59234.7022687621
5,1,Amazonas,252688.368981236,217417.477613509,27232.8069387393,261389.493795887,211234.99784268,50154.4959532099,8038.08442898618
6,2,Áncash,92384.3457013494,41418.0295602036,47157.8385606448,110665.363974727,29162.4757850291,81502.8881897006,3808.47758050087
7,3,Apurímac,29152.1395542727,15048.3840744922,12141.9916042409,63944.402180478,9403.52800320368,54540.8741772748,1961.76387553966
8,4,Arequipa,93064.3230141012,46980.2279345558,45999.481028934,125692.72691345,43912.0096074479,81780.7173059981,84.6140506114416
9,5,Ayacucho,69371.4215162448,55627.7230620784,10339.3017930344,107797.155683212,54252.9383013615,53544.2173818539,3404.39666113191
10,6,Cajamarca,413893.540541968,342131.105806594,42772.5018512346,463856.981698279,354245.246270513,109611.735427738,28989.9328841396
11,7,Callao,0,0,0,0,0,0,0
12,8,Cusco,152910.194520752,111046.233735114,29554.1308949767,191966.072482853,96734.5238958996,95231.5485869762,12309.8298906625
13,9,Huancavelica,17450.2826644082,7505.72732842046,9127.79343613257,69566.4571587689,6673.1495345553,62893.3076242122,816.761899855236
14,10,Huánuco,292974.019595839,239748.387556347,42208.4376871216,242515.306723692,166678.963614208,75836.3431094902,11017.1943523702
15,11,Ica,91032.1306056774,63793.5315416289,27171.8021905995,61324.6377358395,21790.4374673241,39534.2002685158,66.7968734490017
16,12,Junín,217915.328743947,178210.583746669,34940.7318864952,223706.720867131,156246.318252704,67460.4026144517,4764.01327729327
17,13,La Libertad,264033.553637763,99646.7830118651,125907.131313202,172300.687999048,37694.365283003,134606.322716039,38479.6393126957
18,14,Lambayeque,150716.173258731,38447.9400217452,111243.388508762,127402.177679473,14742.8667830235,112659.31089645,1024.84472822379
19,15,Lima,124066.881613432,66030.6819687432,57991.4062241315,115414.999038069,44321.5409003733,71093.458137696,44.7934205578049
20,16,Loreto,149837.089069495,97374.1095602456,47227.9644257958,112734.133934701,68608.4554131382,44125.6785215638,5235.01508345374
21,17,Madre de Dios,104817.870029344,90929.6218990105,8517.96692215933,72511.3264366159,63361.6639980234,9149.66243859093,5370.28120817429
22,18,Moquegua,10438.9008431556,9497.22092290952,933.805960783856,9475.62481848532,8082.81918938648,1392.80562909849,7.87395946223313
23,19,Pasco,145819.766006505,113370.368883535,12668.6890277401,147677.916053579,132344.020684805,15333.89536877,19780.7080952293
24,20,Piura,184486.970549399,104218.840568197,78826.4825903647,204458.200954878,72115.4862198531,132342.714735034,1441.64739083758
25,21,Puno,49510.930805184,46816.6584719565,2051.03770005049,162355.794428893,48286.299463579,114069.49496532,643.23463317696
26,22,San Martín,534382.584948212,427821.027777518,103211.197860849,588939.396156133,376125.375330356,212814.020825779,3350.35930984611
27,23,Tacna,37965.7184883755,31539.4023391834,5057.88211725095,37299.8421126485,27685.8448020914,9613.99731055696,1368.43403194114
28,24,Tumbes,17849.4741779121,8087.29815667583,9750.73330695057,27133.2931736379,7707.08395724889,19426.2092163892,11.4427142857143
29,25,Ucayali,161947.680278654,139966.668647917,16923.1956117718,116115.842267438,95801.1858542147,20314.656413229,5057.81601896554
