index,ubigeo,departamento,iso_3166_2,fips,capital,superficie,altitude,latitude,longitude
1,10000,AMAZONAS,PE-AMA,1,Chachapoyas,39249.13,2338,-6.229444444,-77.87277778
2,20000,ANCASH,PE-ANC,2,Huaraz,35881.3,3073,-9.529722222,-77.52916667
3,30000,APURIMAC,PE-APU,3,Abancay,20895.77,2500,-13.62888889,-72.88611111
4,40000,AREQUIPA,PE-ARE,4,Arequipa,63343.95,2429,-16.39333333,-71.52888889
5,50000,AYACUCHO,PE-AYA,5,Ayacucho,43803.26,2797,-13.16027778,-74.22527778
6,60000,CAJAMARCA,PE-CAJ,6,Cajamarca,33304.32,2731,-7.154722222,-78.51083333
7,70000,CALLAO,PE-CAL,7,Callao,145.91,27,-12.06305556,-77.14694444
8,80000,CUSCO,PE-CUS,8,Cusco,71986.5,3439,-13.51916667,-71.97666667
9,90000,HUANCAVELICA,PE-HUV,9,Huancavelica,22125.2,3746,-12.78694444,-74.97138889
10,100000,HUANUCO,PE-HUC,10,Huánuco,37263.44,1921,-9.93,-76.23972222
11,110000,ICA,PE-ICA,11,Ica,21305.51,432,-14.06361111,-75.72916667
12,120000,JUNIN,PE-JUN,12,Huancayo,44328.8,3294,-12.07083333,-75.20888889
13,130000,LA LIBERTAD,PE-LAL,13,Trujillo,25495.42,74,-8.1,-79.03055556
14,140000,LAMBAYEQUE,PE-LAM,14,Chiclayo,14461.52,28,-6.766944444,-79.85055556
15,150000,LIMA,PE-LIM,15,Lima,34823.52,162.42,-12.04527778,-77.03083333
16,160000,LORETO,PE-LOR,16,Iquitos,368799.48,107,-3.748055556,-73.24416667
17,170000,MADRE DE DIOS,PE-MDD,17,Puerto Maldonado,85300.54,204,-12.59361111,-69.17666667
18,180000,MOQUEGUA,PE-MOQ,18,Moquegua,15733.88,1428,-17.19416667,-70.93333333
19,190000,PASCO,PE-PAS,19,Cerro de Pasco,25025.84,4373,-10.6825,-76.25694444
20,200000,PIURA,PE-PIU,20,Piura,35656.18,57,-5.1525,-80.65777778
21,210000,PUNO,PE-PUN,21,Puno,66993.52,3848,-15.84027778,-70.02805556
22,220000,SAN MARTIN,PE-SAM,22,Moyobamba,51305.78,895,-6.034722222,-76.97416667
23,230000,TACNA,PE-TAC,23,Tacna,16075.73,583,-18.00194444,-70.25194444
24,240000,TUMBES,PE-TUM,24,Tumbes,4668.5,9,-3.571111111,-80.45916667
25,250000,UCAYALI,PE-UCA,25,Pucallpa,102199.28,162,-8.368055556,-74.54333333
